time,accel x,accel y,accel z,gryo x,gyro y,gyro z
1515642450214,-2.560318,2.165512,6.5324097,0,0,0
1515642450325,-0.72024536,-1.7946167,11.40419,-0.77983093,-1.6556244,0.20074463
1515642450429,-0.19142151,-0.78245544,11.1840515,1.1590424,2.7364655,1.021759
1515642450532,-1.689331,2.3353882,7.554138,0.6556854,0.08288574,0.5575104
1515642450633,-1.8185425,2.7110748,9.738785,0.07658386,-0.48397827,0.6222534
1515642450734,-0.33499146,3.6227264,9.67897,0.37957764,-0.13945007,0.5856018
1515642450836,-0.20817566,4.2017975,8.922836,0.085128784,0.1671753,0.40966797
1515642450941,-0.7776642,3.9194489,10.325027,0.40766907,0.37243652,0.20074463
1515642451045,-0.3397827,3.081955,10.557129,-0.10787964,0.019363403,-0.1816101
1515642451146,-0.19621277,1.9525452,12.3589325,-0.33024597,-0.018493652,-0.047225952
1515642451248,-0.1986084,1.902298,8.195419,-0.09567261,-0.23109436,-0.46871948
1515642451349,-0.5742798,1.9812622,8.212173,-0.23861694,-0.2762909,-0.3062439
1515642451451,-0.89730835,2.6416779,8.647659,-0.09811401,-0.26651,-0.33677673
1515642451553,-2.3521423,2.1248322,8.059021,-0.057785034,0.15985107,-0.33799744
1515642451655,-1.8352966,2.9359894,9.181259,0.04725647,-0.02217102,-0.12174988
1515642451762,-2.0602264,3.8907318,13.02652,0.29771423,-0.21276855,0.12257385
1515642451865,-0.79441833,1.5481567,11.499908,0.36001587,0.17817688,0.2545166
1515642451967,0.5694885,1.627121,8.255234,0.41622925,-0.13578796,0.46343994
1515642452069,-0.06460571,1.2466583,9.269791,0.009384155,0.45552063,0.21174622
1515642452172,-0.8542328,2.2994995,8.039886,0.20974731,0.2331543,0.4988556
1515642452275,-0.7154541,2.950348,7.848465,0.06680298,0.12075806,0.54039
1515642452378,-1.0576324,3.7160492,7.6331024,-0.06022644,0.0010375977,0.5355072
1515642452480,-1.4787598,3.907486,10.712662,-0.18240356,-0.200531,0.7431946
1515642452582,-0.58384705,3.6825562,11.940186,-0.6649933,0.06700134,0.49520874
1515642452684,-1.9716797,2.1559296,9.382263,0.15109253,0.5642395,0.80307007
1515642452787,-1.5888367,0.093322754,10.346573,0.32336426,0.47384644,1.2123413
1515642452897,-0.97387695,0.8949127,9.403793,0.6080322,0.43595886,1.3894958
1515642452999,-1.0863342,1.7252197,8.243271,0.2366333,0.41030884,1.2050171
1515642453101,-0.32781982,3.0628204,6.8075867,0.2183075,-0.10769653,0.8397217
1515642453205,-1.031311,4.1443634,8.070984,-0.40841675,0.22827148,0.5917053
1515642453308,-0.68434143,4.862213,9.839294,-0.45484924,0.5801239,0.40600586
1515642453409,-0.27757263,2.3904266,11.428116,-0.2129364,0.5068207,0.25575256
1515642453511,2.0769653,1.8424683,11.002197,0.5408325,-0.0099487305,0.26916504
1515642453615,0.1651001,2.3186493,7.2263184,0.38078308,0.39320374,-0.047225952
1515642453718,-0.63648987,2.5842438,8.011169,-0.18608093,0.112213135,-0.031341553
1515642453820,-0.5647125,3.5748749,8.159531,0.04359436,0.15374756,0.24963379
