timestamp(unix),accel x,accel y,accel z,gyro x,gyro y,gyro z
1515650805,-0.154326,0.022792,-0.048611,0.016256,-0.650296,-0.804162
1515650805,-0.15457,0.020412,-0.022761,-0.053819,-0.959629,-0.915931
1515650805,-0.162047,0.046018,-0.16175,-0.037604,-0.970495,-1.033602
1515650805,-0.126872,0.072142,-0.171386,0.119163,-0.933489,-1.119553
1515650805,-0.09363,0.076642,-0.109719,0.176447,-0.943069,-1.178548
1515650805,-0.094506,0.059236,-0.062576,0.031568,-0.992193,-1.259249
1515650805,-0.103606,0.046354,-0.03769,-0.127659,-0.884989,-1.368417
1515650806,-0.107593,0.02464,-0.018076,-0.275764,-0.887641,-1.517425
1515650806,-0.077721,0.02991,-0.064665,-0.347236,-1.033425,-1.614795
1515650806,-0.066821,0.013709,-0.086534,-0.405679,-1.463162,-1.595016
1515650806,-0.078116,0.020376,-0.05787,-0.388235,-1.244772,-1.650164
1515650806,-0.116831,0.041605,-0.162285,-0.368348,-1.422511,-1.556927
1515650806,-0.120194,0.083694,-0.054104,-0.504226,-0.829109,-1.351134
1515650806,-0.085608,0.077024,-0.003813,-0.401895,-0.689166,-1.158361
1515650806,-0.131138,0.068529,-0.109015,-0.426483,-1.130035,-1.50123
1515650806,-0.032955,0.057355,0.025873,-0.251027,-1.025419,-0.924327
1515650806,-0.017531,0.024011,0.00757,-0.015141,-1.514441,-0.718334
1515650806,-0.190382,-0.089481,0.055817,0.154597,-1.663518,-0.735596
1515650806,-0.216227,-0.109822,0.095909,0.042738,-1.579129,-0.99198
1515650806,-0.204384,-0.112392,0.097579,-0.229041,-1.179685,-1.222872
1515650806,-0.1131,-0.023481,0.036828,-0.420599,-0.877918,-1.318606
1515650806,-0.060944,0.018302,-0.004077,-0.283187,-0.707122,-1.307002
1515650806,-0.040066,0.003927,0.029804,-0.087636,-0.630558,-1.269149
1515650806,-0.025158,-0.021256,0.137077,-0.065615,-0.688983,-1.224229
1515650806,-0.025528,-0.023195,0.138189,-0.14207,-0.632825,-1.131852
1515650806,-0.021223,-0.047558,0.142926,-0.218286,-0.587425,-1.053008
1515650806,-0.030308,-0.079387,0.090141,-0.238719,-0.639848,-0.954052
1515650806,-0.053911,-0.100038,0.065075,-0.183504,-0.747159,-0.88011
1515650806,-0.092325,-0.120498,0.058269,-0.126696,-0.772202,-0.888981
1515650806,-0.110552,-0.136445,0.063091,-0.155853,-0.750781,-0.930416
1515650806,-0.110244,-0.134444,0.051551,-0.15747,-0.645778,-0.964108
