
timestamp,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515648189111,0,0,0,0,0,0
1515648189211,-3.3547363,0.33021545,4.2544403,0.29338074,1.619339,-0.10618591
1515648189314,-6.666397,-0.39720154,8.872589,-3.1690216,0.03718567,-0.9827881
1515648189415,-7.5756836,-5.9318085,2.7876434,0.9622803,2.6846924,-2.5545654
1515648189517,-11.839691,-3.7662964,7.039688,0.5597229,1.7036438,-3.3199768
1515648189621,-10.925629,-0.124420166,1.7060852,0.4754181,0.4104309,-2.2863922
1515648189722,-10.107285,-0.624527,1.8879395,-0.7133179,-0.055664062,-0.86917114
1515648189824,-14.462219,-2.7517395,2.835495,-0.796402,0.2625885,0.17417908
1515648189926,-12.602997,-0.73220825,3.9385834,-0.5630493,0.014587402,1.4386902
1515648190029,-10.408783,-2.4598236,1.3447723,1.0013733,-0.6311035,2.408142
1515648190133,-11.430511,-5.34317,2.148758,1.3306427,-0.14117432,3.12529
1515648190235,-8.015961,-4.3980103,1.146164,0.5707245,-0.6109314,2.715393
1515648190337,-4.78804,-2.7804565,-0.830307,0.9628906,-0.17416382,0.7936096
1515648190445,-8.013565,-3.522232,-0.39482117,0.10585022,0.5704651,-1.436676
1515648190548,-13.974091,-3.8548431,2.0865479,-1.8367157,0.3139038,-3.7243805
1515648190650,-12.440292,-2.371292,3.053238,-1.0028687,0.70547485,-2.5820618
1515648190753,-10.841873,-2.1224365,2.7397766,0.50657654,0.0011444092,-1.4372864
1515648190856,-8.159531,-1.7706909,1.4931183,0.67333984,0.30718994,-1.1794891
1515648190957,-9.466003,-2.3114624,1.2466583,-0.4616394,-0.036117554,-0.88627625
1515648191059,-14.833115,-3.0675964,2.0219421,-0.7682953,0.2589264,-0.216156
1515648191161,-11.75116,-0.48095703,2.6895294,-1.6308441,-0.7380066,1.219986
1515648191264,-11.23909,-5.7786713,1.2897339,1.6592865,-0.19615173,3.4142456
1515648191366,-9.219543,-5.3575287,1.8640137,0.42105103,-0.1350708,2.026947
1515648191469,-7.869995,-3.1274261,0.65563965,0.08018494,-0.5077057,2.1650085
1515648191572,-7.032501,-1.1772614,0.21774292,-0.1659851,-0.43196106,0.45640564
1515648191674,-10.102493,-3.1250305,2.0937195,-0.11161804,0.1312561,-0.4947052
1515648191775,-10.566711,-0.91645813,1.385437,0.21092224,0.3297882,-2.1086273
1515648191879,-12.145966,-1.0337067,2.383255,-0.8660431,0.646225,-1.6333618
1515648191982,-8.958725,0.1268158,0.8039856,-0.7957916,-0.3824768,-0.77937317
1515648192085,-8.015961,-1.3830566,1.8305054,0.0044555664,0.5521393,-0.34199524
1515648192187,-10.87059,-3.505478,1.0791626,0.7643585,0.6999817,-0.50631714
1515648192288,-12.212967,-5.8624115,2.8546448,-0.44638062,0.23754883,-0.5869446
1515648192390,-7.4153595,-2.3018951,3.402588,-0.044418335,-1.0086212,-2.001114
1515648192491,-8.484955,-2.428711,-0.8829498,1.380722,-0.4484558,-0.034729004
1515648192593,-8.224136,-3.9433746,2.3784637,-0.5997009,-0.4844818,0.1625824
1515648192694,-7.3986053,-1.146164,0.279953,0.038650513,-0.377594,0.29086304
1515648192797,-10.092926,-3.5677032,1.2442627,0.088134766,0.06590271,0.25909424
1515648192901,-15.481567,-4.749756,2.7876434,-0.6314697,0.5191498,0.5645294
1515648193005,-11.069199,-0.6628113,1.976471,0.57987976,-0.30549622,1.3879852
1515648193107,-9.875183,-5.0775757,3.3020935,1.2567139,0.74090576,2.1912842
1515648193209,-6.455841,-4.2951202,2.1990051,1.0606232,-0.20899963,1.3256683
1515648193319,-4.819153,-2.945572,0.5814514,0.9189148,0.3163452,0.62072754
1515648193421,-7.554138,-6.3385925,1.414154,-0.4237671,0.18806458,-0.79953
1515648193523,-11.160126,-8.415558,3.5533447,-3.252716,-1.8992767,-2.950409
1515648193625,-10.320251,-2.120041,5.1182404,-1.3131866,-0.30549622,-2.434845
1515648193731,-9.908676,-4.627716,3.225525,0.33796692,0.11231995,-1.4195709
1515648193837,-8.683548,-2.1248322,2.7541351,-0.4439392,-0.87727356,-0.9907379
1515648193941,-9.980469,-0.95951843,2.4669952,-0.073135376,-0.5156555,0.12225342
1515648194043,-12.026321,-3.4695892,2.2827454,-1.408493,-0.6298828,0.98480225
1515648194147,-13.576874,-2.4191437,4.9579315,0.5707245,0.8117676,0.69158936
1515648194251,-10.679169,-3.871582,2.794815,1.9402924,0.48251343,1.9921417
1515648194356,-9.324829,-5.6614227,4.019943,1.6757812,0.84536743,2.0006866
1515648194458,-7.0085754,-4.1491547,2.9623108,0.8627167,0.11721802,1.7447357
1515648194560,-5.2737885,-5.481964,2.5220337,0.8639374,-0.08743286,1.1619568
1515648194662,-9.245865,-7.0468597,1.4189453,0.03437805,0.5771942,-0.85694885
1515648194763,-9.84407,-6.4941254,4.268799,-0.19836426,0.45196533,-2.1348877
1515648194865,-9.896713,-1.6055908,1.2394867,0.25856018,-0.5162506,-1.9907379
