
timestamp,accel x,accel y,accel z,gyro x,gyro y,gyro z
1515648123356,6.4534454,-0.61735535,5.0345,0.5096283,0.12210083,-0.39085388
1515648123456,7.276581,-1.0265198,6.4055786,-1.3522949,-0.09353638,-0.27723694
1515648123558,6.652054,-0.0047912598,5.242676,-0.05053711,-0.18089294,-0.3609314
1515648123659,6.8841553,-0.7920227,7.451248,-0.032821655,-0.7526703,-0.13858032
1515648123763,11.425735,-2.0721893,5.5752716,0.6098175,-1.2731171,0.611557
1515648123865,12.205795,-1.1868439,5.8815613,0.34347534,-0.1485138,-0.4983673
1515648123966,10.016357,-4.7521515,3.8213348,2.0710144,-0.6194916,-1.019455
1515648124067,7.1282196,-3.9338074,1.8448639,2.1461487,-1.1827087,-0.5069275
1515648124170,4.833496,-3.4863434,1.2873383,1.6073608,-1.1454468,-0.17338562
1515648124272,5.7882385,-4.840683,1.9908295,0.06491089,-0.012298584,1.3275146
1515648124378,12.665207,-7.235901,2.325821,-1.0603027,0.63217163,0.012908936
1515648124481,8.98027,-4.0366974,4.4291077,-3.186737,0.2650299,0.5358124
1515648124584,7.9489594,-1.1078796,2.1439667,-0.5056305,-0.18089294,1.0996552
1515648124686,9.013763,-1.9549408,1.799408,-0.32847595,-0.33177185,1.1955566
1515648124787,11.521439,-0.4665985,2.0171509,-0.84954834,0.16668701,0.3427887
1515648124889,11.703293,-3.036499,3.4743805,0.2151947,0.108047485,-0.38841248
1515648124991,14.821136,-2.9192505,3.5030975,0.8773804,-0.53152466,-0.9492035
1515648125093,11.913864,-5.8504486,4.0055847,1.1987,-0.40507507,-2.5906067
1515648125196,8.042282,-5.3647156,2.120041,0.9317322,0.4128723,-2.2808838
1515648125303,4.1276245,-3.7256317,0.95951843,1.4625854,-0.013519287,-1.0102844
1515648125411,7.195221,-5.139786,0.83270264,0.20846558,-0.5639038,0.8119354
1515648125516,10.837097,-7.996811,1.6845398,-1.187973,0.042678833,1.2700806
1515648125621,9.578476,-3.5437775,2.6560364,-0.7518158,0.52282715,2.471054
1515648125731,9.76033,-3.6131592,1.832901,-0.5887146,0.067718506,1.5987396
1515648125835,10.372879,-2.9120636,1.3040924,-0.6846161,0.44952393,1.55719
1515648125937,11.406586,-2.5220337,2.5866394,-1.443924,0.99624634,0.56941223
1515648126040,12.995422,-3.287735,3.5270233,-0.109176636,-0.11430359,-0.0066375732
1515648126142,14.201401,-2.5124664,3.3332062,1.4216614,-0.9334717,-1.3358765
1515648126245,10.588242,-6.0538483,3.5102692,1.6757812,-0.94447327,-2.7017822
1515648126352,9.676575,-5.5992126,1.931015,1.6091919,-0.5296936,-2.355423
1515648126455,5.350357,-4.8071747,1.3734741,0.4259491,0.3407898,-1.9907379
1515648126557,5.2163544,-7.5014954,0.9308014,-0.29670715,0.015808105,-0.09764099
1515648126658,8.494522,-7.5421753,1.1150513,0.002609253,-0.9151459,1.8192596
1515648126760,9.470795,-4.261612,0.7393799,-0.48425293,0.2118988,2.9835815
1515648126865,10.6026,-4.031906,1.0815582,-0.08534241,0.031692505,1.7746582
1515648126966,9.63829,-2.7493591,-0.16749573,-0.5819855,0.9498291,1.431961
1515648127069,11.150558,-2.892929,0.70588684,-0.5654907,0.4965515,0.93899536
1515648127173,13.880768,-4.3836517,1.4667969,-0.3242035,0.18989563,0.03062439
1515648127276,14.187042,-2.9862366,1.8185425,0.5529938,-0.37635803,-1.3206024
1515648127378,11.2534485,-6.4630127,2.3688965,0.58110046,-0.3629303,-2.9797363
1515648127481,7.7695007,-6.1017,2.4263153,0.8236084,0.11659241,-2.4360657
1515648127592,5.15654,-4.1324005,1.9166565,1.226181,-0.4771576,-1.2839508
1515648127695,6.2189484,-4.5966187,0.9786682,0.83461,-0.19371033,-0.6187134
1515648127797,7.9992065,-6.7908325,0.45703125,-0.6449127,0.095825195,0.84187317
1515648127900,8.762512,-4.7401886,2.141571,-1.8196106,0.6443939,2.6311035
1515648128004,10.071396,-4.6779633,2.1870422,-0.30465698,0.24977112,2.3513184
1515648128107,9.736389,-3.3714905,0.19621277,-0.1329956,0.26809692,1.9768524
1515648128211,11.282166,-2.9718933,1.483551,-0.14031982,0.10070801,1.4851074
1515648128313,13.466812,-4.2305145,1.138977,-0.22462463,0.15080261,0.13935852
1515648128418,12.480957,-4.3788605,2.2157593,-0.16964722,0.2265625,-1.1025238
1515648128521,11.358734,-5.539383,2.8163452,1.0985107,-0.832077,-2.1489563
1515648128624,9.860825,-5.9413757,1.2610168,1.0374146,-0.4637146,-2.7683716
1515648128726,6.496521,-5.3407745,1.1964111,0.71977234,0.00541687,-2.3480835
1515648128828,4.1730804,-5.2881317,0.18902588,-0.0022735596,0.2436676,-1.1477356
1515648128930,6.8769684,-6.628113,2.5339966,-0.1806488,-0.22669983,0.8039856
1515648129032,9.085556,-6.139984,1.7132568,-1.1048889,-0.4771576,2.55719
1515648129141,9.793823,-4.2305145,0.9954071,-0.6143646,0.70181274,2.1234741
1515648129244,10.88974,-2.7182465,0.38046265,-0.26127625,0.5234375,2.2578583
1515648129346,10.341782,-1.071991,0.8566284,-1.3309174,1.1642303,0.83758545
1515648129451,13.569702,-4.491333,1.4715881,-0.57588196,-0.31222534,0.22610474
1515648129553,18.427124,-4.302292,4.496109,0.1186676,-0.4154663,-1.3199921
1515648129658,9.9062805,-7.0660095,3.0556335,1.5896454,0.17524719,-3.447052
1515648129761,7.7455597,-6.2572327,1.6701965,2.2438965,-0.7025757,-2.3187714
1515648129862,5.0368958,-4.412369,0.050247192,1.5383453,-0.2993927,-2.250351
1515648129965,5.5369873,-5.2378845,0.9643097,-0.18614197,-0.17050171,0.23649597
1515648130067,9.76033,-8.102097,1.0887299,-0.54533386,-0.496109,1.5480347
1515648130170,12.035904,-3.7495575,-0.2871399,-1.5031738,1.200882,3.337265
1515648130273,9.57608,-4.0175476,3.6299133,-2.6149597,0.74334717,1.4484558
1515648130375,10.286743,-2.8570251,1.0552368,0.3355255,-0.25541687,1.753891
1515648130478,11.002197,-1.5768738,1.2442627,-0.6711731,0.07322693,0.98542786
1515648130582,13.746765,-4.532013,2.009964,-0.20507812,0.0811615,0.10758972
1515648130684,14.653641,-3.0628204,1.8376923,0.8052826,-0.284729,-0.92048645
1515648130785,10.114456,-5.510666,2.280365,0.66967773,0.15080261,-2.6840668
1515648130889,8.3198395,-5.481964,1.7467651,1.432663,-0.27069092,-2.06221
1515648130997,5.9078827,-4.1276245,1.1437683,1.2622223,-0.29023743,-1.5930481
1515648131100,5.395813,-4.783249,0.22970581,0.7179413,-0.11857605,-0.33833313
1515648131201,10.001999,-7.4273224,-0.009567261,-0.83917236,-0.24380493,1.1240845
1515648131303,10.128815,-3.4552307,3.3020935,-1.1946869,0.8911896,2.8907166
1515648131405,7.8915253,-3.1130676,1.7395782,-0.7395935,0.29618835,1.1582947
1515648131508,8.975479,-3.5820618,1.3734741,0.0056762695,0.33590698,1.5669708
1515648131612,9.841675,-2.9144592,0.40438843,-0.8709259,0.5839081,1.117981
1515648131715,13.686951,-3.706482,1.0695953,-0.27166748,0.095825195,0.6017914
1515648131819,15.67778,-3.665802,1.8544312,0.19075012,-0.5626831,-0.6749115
1515648131921,9.9039,-4.615753,2.761322,0.9677887,-0.55963135,-2.5692139
1515648132022,8.891724,-5.6614227,1.1724854,1.0673523,-0.5797882,-2.1947632
1515648132126,6.175873,-4.4817505,2.2205353,0.6959381,-0.3800354,-1.5447998
1515648132229,5.297714,-4.8694,0.75613403,0.68556213,-0.26091003,-0.7836609
1515648132332,9.887146,-9.18605,1.1868439,0.042312622,-0.3006134,0.84124756
1515648132434,9.1453705,-3.677765,2.457428,-0.62719727,1.0628357,2.6579742
1515648132536,8.121246,-4.08934,-0.9020996,-0.5184479,0.48251343,1.0605469
1515648132637,9.3511505,-3.5126648,0.87098694,-0.31930542,0.7134247,1.8516388
1515648132740,10.174286,-2.6201477,1.1533356,0.2164154,-0.025115967,1.4710693
1515648132846,12.79921,-5.024933,-0.62213135,1.1614227,-0.53274536,0.34033203
1515648132948,14.8498535,-5.2737885,0.43070984,-0.83976746,-0.052597046,-0.21859741
1515648133051,10.303497,-3.8476562,2.5172424,-0.2997589,0.014587402,-2.301056
1515648133152,9.375076,-6.1782684,2.100891,0.4277649,-0.5553589,-2.5032501
1515648133255,7.080368,-4.467407,1.4452667,0.22618103,0.03779602,-1.8844452
1515648133357,6.7381897,-4.610962,0.97387695,-0.03036499,0.01335144,-1.0066223
1515648133459,7.4895325,-5.89592,0.44267273,-0.16720581,0.193573,-0.2674713
1515648133561,6.805191,-5.0033875,1.9621124,-1.5599976,0.10621643,1.960968
1515648133664,9.499512,-2.9192505,-0.43070984,-0.61009216,0.229599,1.9615936
1515648133768,8.434708,-4.4291077,4.0079803,-1.1781921,-0.113082886,1.8937836
1515648133871,10.322632,-2.847458,0.68196106,0.5462799,-0.62132263,1.8559113
1515648133973,12.617355,-4.371689,1.0791626,-0.97050476,0.97120667,0.21572876
1515648134075,15.172882,-6.242874,2.622528,0.32453918,-0.4429474,-0.3462677
1515648134178,11.722443,-4.194626,1.0097656,0.79551697,-0.31834412,-2.4275055
1515648134286,9.408585,-6.2165527,2.0195465,1.1247711,-0.4783783,-2.5496674
1515648134389,6.649658,-4.914856,1.5122681,1.0960693,-0.19126892,-2.1819305
1515648134491,4.278366,-4.8670044,0.830307,0.7106018,-0.04649353,-1.1471252
1515648134593,8.059021,-7.544571,1.9812622,-0.100631714,-0.46678162,0.8675232
1515648134695,8.394028,-5.0943146,1.8257294,-0.9002533,0.1789093,2.5907898
1515648134801,9.748352,-3.373886,-0.107681274,-0.22401428,0.1324768,1.7001343
1515648134905,9.750748,-3.5557404,0.8614197,-0.84954834,0.7775574,1.7264099
1515648135008,9.6263275,-1.8233337,0.6891327,-0.3804016,0.4709015,1.2169495
1515648135109,11.282166,-3.900299,0.70588684,-0.7640228,0.4256897,0.26397705
1515648135211,17.324036,-6.489334,2.0410767,-0.16415405,-0.55596924,-0.31144714
1515648135313,11.19841,-3.8739777,1.2586212,0.34957886,0.3896637,-2.5533447
1515648135424,8.264816,-6.4366913,2.7565308,1.0740662,-0.33970642,-2.3493195
